subject,predicate,object
ex_addr:27,rdf:type,ex:Address
ex_comp:7,rdf:type,ex:Company
ex_comp:45,hasName,"Verwaltung Schiffahrts-Gesellschaft ""HANSA BRANDENBURG"" mbH"
ex_addr:42,hasPLZ,20359
ex_addr:89,hasStreet,Zur Westpier 40
ex_addr:15,hasPLZ,22525
ex_comp:33,hasFNR,K1101R_HRB105553
ex_addr:85,rdf:type,ex:Address
ex_addr:75,hasAddress,Alte Bottroper Str.
ex_comp:6,hasAddress,ex_addr:6
ex_addr:62,hasStreet,Raboisen 38
ex_addr:80,hasCity,Hamburg.
ex_comp:45,hasAddress,ex_addr:43
ex_comp:68,hasName,Närrische Frauen Himmelgeist e.V.
ex_addr:10,hasPLZ,22767
ex_addr:35,hasStreet,Caffamacherreihe 7
ex_addr:57,rdf:type,ex:Address
ex_comp:92,hasName,Verwaltungsgesellschaft EGRIMA mbH
ex_addr:40,hasCity,Hamburg.
ex_addr:33,hasCity,Düsseldorf.
ex_addr:82,hasCity,Ratingen.
ex_addr:55,hasAddress,Unnastr.
ex_comp:64,hasName,REDEVCO Logistics Güdderath GmbH & Co. OHG
ex_addr:62,hasPLZ,20095
ex_comp:47,hasFNR,K1101R_HRB58718
ex_comp:62,rdf:type,ex:Company
ex_addr:59,hasStreet,Carl-Theodor-Straße 6
ex_addr:79,rdf:type,ex:Address
ex_comp:65,rdf:type,ex:Company
ex_addr:32,hasCity,Hamburg.
ex_comp:86,rdf:type,ex:Company
ex_comp:11,hasAddress,ex_addr:11
ex_comp:89,hasName,GENIGO GmbH
ex_comp:64,hasAddress,ex_addr:59
ex_addr:69,rdf:type,ex:Address
ex_comp:4,rdf:type,ex:Company
ex_comp:72,hasName,Kröger Baugeräte Service GmbH
ex_addr:8,hasCity,Hamburg.
ex_comp:55,rdf:type,ex:Company
ex_addr:40,hasStreet,Schulterblatt 58
ex_addr:3,hasCity,Bremen.
ex_addr:83,hasCity,Düsseldorf.
ex_addr:78,hasAddress,"Worthdamm 13-27, 20457 Hamburg."
ex_comp:33,rdf:type,ex:Company
ex_addr:75,hasStreet,Alte Bottroper Str.
ex_comp:12,hasFNR,K1101R_HRA93667
ex_addr:43,hasStreet,Neumühlen 13
ex_addr:89,hasAddress,"Zur Westpier 40, 28755 Bremen."
ex_addr:90,hasCity,Hamburg.
ex_addr:27,hasAddress,"Palmaille 120, 22767 Hamburg."
ex_comp:22,hasName,Verwaltung NORDCAPITAL Schiffsportfolio 4 GmbH
ex_comp:58,hasFNR,K1101R_HRB1787
ex_addr:65,hasStreet,Löpelborg 8
ex_addr:55,hasStreet,Unnastr.
ex_addr:83,hasPLZ,40479
ex_comp:74,hasFNR,H1101_H1101_HRA17696
ex_addr:66,hasAddress,"Neustraße 45, 40721 Hilden."
ex_addr:71,hasStreet,Saseler Bogen 3
ex_addr:43,hasAddress,"Neumühlen 13, 22763 Hamburg."
ex_comp:75,hasName,TT Trading GmbH
ex_addr:34,hasAddress,Luftfrachthof-Geb.
ex_addr:66,hasCity,Hilden.
ex_comp:77,rdf:type,ex:Company
ex_addr:73,hasAddress,"Neuländer Kamp 1a, 21079 Hamburg."
ex_addr:11,rdf:type,ex:Address
ex_comp:13,hasName,wpd Windparks Westfalen IV GmbH
ex_addr:77,hasAddress,"Finkenwerder Norderdeich 133, 21129 Hamburg."
ex_addr:7,rdf:type,ex:Address
ex_comp:23,hasAddress,ex_addr:21
ex_addr:39,hasPLZ,20359
ex_addr:26,hasStreet,Winsbergring 15
ex_addr:52,rdf:type,ex:Address
ex_addr:26,hasPLZ,22525
ex_addr:71,rdf:type,ex:Address
ex_addr:55,rdf:type,ex:Address
ex_comp:52,hasName,[m]SCIENCE GmbH
ex_comp:61,hasAddress,ex_addr:5
ex_comp:88,hasFNR,R1101_HRB54999
ex_comp:37,hasAddress,ex_addr:35
ex_comp:97,hasFNR,R1101_HRB38642
ex_addr:31,hasCity,Hamburg.
ex_addr:76,hasCity,Hamburg.
ex_comp:53,hasFNR,K1101R_HRB97760
ex_comp:72,rdf:type,ex:Company
ex_addr:7,hasAddress,"Königstraße 28, 22767 Hamburg."
ex_addr:77,rdf:type,ex:Address
ex_addr:49,hasPLZ,40476
ex_addr:42,hasCity,Hamburg.
ex_addr:19,hasCity,Hamburg.
ex_comp:88,rdf:type,ex:Company
ex_comp:5,hasName,ITERGO Informationstechnologie GmbH
ex_comp:77,hasName,TOL Time of Luxury GmbH
ex_addr:65,hasAddress,"Löpelborg 8, 28755 Bremen"
ex_addr:90,hasPLZ,21079
ex_comp:10,hasAddress,ex_addr:10
ex_comp:48,hasAddress,ex_addr:46
ex_comp:85,hasFNR,K1101R_HRB129147
ex_addr:87,rdf:type,ex:Address
ex_comp:18,rdf:type,ex:Company
ex_comp:23,hasName,HCG Hanse Convenience GmbH
ex_comp:54,hasAddress,ex_addr:51
ex_addr:14,hasAddress,"Mündelheimer Weg 40, 40472 Düsseldorf."
ex_comp:98,hasFNR,K1101R_HRB123809
ex_addr:38,hasAddress,"Fuhlsbüttler Straße 387, 22309 Hamburg."
ex_comp:55,hasAddress,ex_addr:52
ex_addr:50,rdf:type,ex:Address
ex_addr:19,hasStreet,Neuer Steinweg 26
ex_comp:69,rdf:type,ex:Company
ex_comp:87,hasAddress,ex_addr:79
ex_addr:86,rdf:type,ex:Address
ex_comp:34,hasFNR,K1101R_HRB117903
ex_comp:91,hasAddress,ex_addr:81
ex_addr:43,hasPLZ,22763
ex_comp:14,hasFNR,R1101_HRB63476
ex_comp:36,hasName,SEABRIDGE Transport GmbH
ex_comp:56,rdf:type,ex:Company
ex_addr:54,hasCity,Hamburg.
ex_comp:51,hasName,Poertzgen GmbH Unternehmensberatung
ex_addr:5,rdf:type,ex:Address
ex_comp:8,hasAddress,ex_addr:8
ex_addr:6,hasPLZ,40231
ex_addr:23,hasAddress,"Mönckebergstraße 13, 20095 Hamburg."
ex_addr:85,hasPLZ,28203
ex_comp:82,hasAddress,ex_addr:74
ex_comp:30,rdf:type,ex:Company
ex_addr:38,hasCity,Hamburg.
ex_addr:61,hasCity,Hamburg.
ex_addr:82,hasAddress,"Balcke-Dürr-Allee 3, 40882 Ratingen."
ex_comp:26,rdf:type,ex:Company
ex_comp:36,hasFNR,K1101R_HRB28646
ex_addr:14,hasStreet,Mündelheimer Weg 40
ex_addr:83,hasAddress,"Jägerhofstraße 10, 40479 Düsseldorf."
ex_comp:59,hasAddress,ex_addr:9
ex_comp:95,hasFNR,H1101_H1101_HRA25576
